Timestamp_ISO,Tiempo_Relativo_s,Etapa_Num,Etapa_Nombre,Error_T1_C,Error_T2_C,Error_T3_C,Error_T4_C,Error_Corriente_A,IAE_T1,IAE_T2,IAE_T3,IAE_T4,IAE_Corriente,Esfuerzo_u1_Pct,Esfuerzo_u2_Pct,Esfuerzo_u3_Pct,Esfuerzo_u4_Pct
2026-09-14T22:03:00,0.0,1,Limpieza Electrolítica (T1),-24.0,-24.0,-24.0,-24.0,0.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0
2026-09-14T22:03:04,4.1,1,Limpieza Electrolítica (T1),-24.0,-24.0,-24.0,-24.0,0.0,96.0,96.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0
2026-09-14T22:03:08,8.1,1,Limpieza Electrolítica (T1),-24.0,-24.0,-24.0,-24.0,0.0,168.0,168.0,168.0,168.0,0.0,0.0,0.0,0.0,0.0
2026-09-14T22:03:12,12.2,1,Limpieza Electrolítica (T1),-24.0,-24.0,-24.0,-24.0,0.0,240.0,240.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0
2026-09-14T22:03:16,16.2,1,Limpieza Electrolítica (T1),-24.0,-24.0,-24.0,-24.0,0.0,312.0,312.0,312.0,312.0,0.0,0.0,0.0,0.0,0.0
2026-09-14T22:03:20,20.3,1,Limpieza Electrolítica (T1),-24.0,-24.0,-24.0,-24.0,0.0,384.0,384.0,384.0,384.0,0.0,0.0,0.0,0.0,0.0
2026-09-14T22:03:24,24.3,1,Limpieza Electrolítica (T1),-24.0,-24.0,-24.0,-24.0,0.0,456.0,456.0,456.0,456.0,0.0,0.0,0.0,0.0,0.0
2026-09-14T22:03:28,28.4,1,Limpieza Electrolítica (T1),-24.0,-24.0,-24.0,-24.0,0.0,528.0,528.0,528.0,528.0,0.0,0.0,0.0,0.0,0.0
2026-09-14T22:03:32,32.4,1,Limpieza Electrolítica (T1),-24.0,-24.0,-24.0,-24.0,0.0,600.0,600.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0
2026-09-14T22:03:36,36.5,1,Limpieza Electrolítica (T1),-24.0,-24.0,-24.0,-24.0,0.0,672.0,672.0,672.0,672.0,0.0,0.0,0.0,0.0,0.0
2026-09-14T22:03:40,40.5,1,Limpieza Electrolítica (T1),36.9,36.8,0.6,3.6,0.0,782.7,782.4,673.8,682.8,0.0,100.0,100.0,29.0,74.0
2026-09-14T22:03:41,41.5,1,Limpieza Electrolítica (T1),36.5,36.4,0.6,3.6,0.0,819.2,818.8,674.4,686.4,0.0,100.0,100.0,28.0,73.0
2026-09-14T22:03:42,42.5,1,Limpieza Electrolítica (T1),35.9,35.9,0.6,3.6,0.0,855.2,854.8,675.0,690.0,0.0,100.0,100.0,28.0,74.0
2026-09-14T22:03:43,43.5,1,Limpieza Electrolítica (T1),35.3,35.4,0.7,3.6,0.0,890.5,890.2,675.7,693.6,0.0,100.0,100.0,30.0,73.0
2026-09-14T22:03:44,44.5,1,Limpieza Electrolítica (T1),35.0,34.9,0.4,3.5,0.0,925.5,925.1,676.1,697.1,0.0,100.0,100.0,26.0,73.0
2026-09-14T22:03:45,45.5,1,Limpieza Electrolítica (T1),34.6,34.6,0.6,3.4,0.0,960.1,959.7,676.7,700.5,0.0,100.0,100.0,28.0,70.0
2026-09-14T22:03:46,46.5,1,Limpieza Electrolítica (T1),34.2,34.0,0.5,3.3,0.0,994.3,993.7,677.2,703.8,0.0,100.0,100.0,27.0,69.0
2026-09-14T22:03:47,47.5,1,Limpieza Electrolítica (T1),33.6,33.6,0.6,3.2,0.0,1027.9,1027.3,677.8,707.0,0.0,100.0,100.0,28.0,67.0
2026-09-14T22:03:48,48.5,1,Limpieza Electrolítica (T1),33.2,33.4,0.6,3.2,0.0,1061.1,1060.7,678.4,710.2,0.0,100.0,100.0,29.0,68.0
2026-09-14T22:03:49,49.5,1,Limpieza Electrolítica (T1),32.8,32.9,0.5,3.4,0.0,1093.9,1093.6,678.9,713.6,0.0,100.0,100.0,27.0,70.0
2026-09-14T22:03:50,50.5,1,Limpieza Electrolítica (T1),32.6,32.4,0.6,3.3,0.0,1126.6,1126.1,679.5,716.9,0.0,100.0,100.0,28.0,69.0
2026-09-14T22:03:51,51.5,1,Limpieza Electrolítica (T1),32.1,32.0,0.4,3.1,0.0,1158.7,1158.1,679.9,720.0,0.0,100.0,100.0,26.0,67.0
2026-09-14T22:03:52,52.5,1,Limpieza Electrolítica (T1),31.6,31.8,0.4,3.0,0.0,1190.3,1189.9,680.3,723.0,0.0,100.0,100.0,26.0,64.0
2026-09-14T22:03:53,53.5,1,Limpieza Electrolítica (T1),31.2,31.2,0.5,3.2,0.0,1221.5,1221.1,680.8,726.2,0.0,100.0,100.0,27.0,67.0
2026-09-14T22:03:54,54.5,1,Limpieza Electrolítica (T1),30.8,30.8,0.5,3.1,0.0,1252.3,1251.9,681.3,729.3,0.0,100.0,100.0,27.0,65.0
2026-09-14T22:03:55,55.5,1,Limpieza Electrolítica (T1),30.4,30.6,0.4,3.1,0.0,1282.7,1282.5,681.7,732.4,0.0,100.0,100.0,26.0,66.0
2026-09-14T22:03:56,56.5,1,Limpieza Electrolítica (T1),30.0,30.0,0.6,2.8,0.0,1312.7,1312.5,682.3,735.2,0.0,100.0,100.0,29.0,62.0
2026-09-14T22:03:57,57.5,1,Limpieza Electrolítica (T1),29.7,29.7,0.3,2.9,0.0,1342.5,1342.3,682.6,738.1,0.0,100.0,100.0,25.0,62.0
2026-09-14T22:03:58,58.5,1,Limpieza Electrolítica (T1),29.3,29.3,0.5,2.8,0.0,1371.8,1371.6,683.1,740.9,0.0,100.0,100.0,28.0,61.0
2026-09-14T22:03:59,59.5,1,Limpieza Electrolítica (T1),28.9,29.1,0.6,3.0,0.0,1400.7,1400.7,683.7,743.9,0.0,100.0,100.0,29.0,64.0
2026-09-14T22:04:00,60.5,1,Limpieza Electrolítica (T1),28.6,28.6,0.5,2.7,0.0,1429.3,1429.3,684.2,746.6,0.0,100.0,100.0,27.0,60.0
2026-09-14T22:04:01,61.5,1,Limpieza Electrolítica (T1),28.4,28.3,0.4,2.7,0.0,1457.7,1457.6,684.6,749.3,0.0,100.0,100.0,26.0,61.0
2026-09-14T22:04:02,62.5,1,Limpieza Electrolítica (T1),27.9,28.0,0.5,2.6,0.0,1485.6,1485.6,685.1,751.9,0.0,100.0,100.0,27.0,59.0
2026-09-14T22:04:03,63.5,1,Limpieza Electrolítica (T1),27.7,27.5,0.5,2.8,0.0,1513.4,1513.2,685.6,754.7,0.0,100.0,100.0,26.0,61.0
2026-09-14T22:04:04,64.5,1,Limpieza Electrolítica (T1),27.1,27.2,0.6,2.6,0.0,1540.5,1540.4,686.2,757.3,0.0,100.0,100.0,28.0,59.0
2026-09-14T22:04:05,65.5,1,Limpieza Electrolítica (T1),27.0,26.8,0.5,2.7,0.0,1567.5,1567.2,686.7,760.0,0.0,100.0,100.0,27.0,60.0
2026-09-14T22:04:06,66.5,1,Limpieza Electrolítica (T1),26.7,26.5,0.5,2.6,0.0,1594.2,1593.7,687.2,762.6,0.0,100.0,100.0,27.0,58.0
2026-09-14T22:04:07,67.5,1,Limpieza Electrolítica (T1),26.4,26.2,0.5,2.4,0.0,1620.6,1619.9,687.7,765.0,0.0,100.0,100.0,26.0,56.0
2026-09-14T22:04:08,68.5,1,Limpieza Electrolítica (T1),26.0,26.0,0.4,2.7,0.0,1646.6,1645.9,688.1,767.7,0.0,100.0,100.0,26.0,59.0
2026-09-14T22:04:09,69.5,1,Limpieza Electrolítica (T1),25.7,25.7,0.5,2.4,0.0,1672.3,1671.6,688.6,770.1,0.0,100.0,100.0,28.0,55.0
2026-09-14T22:04:10,70.5,1,Limpieza Electrolítica (T1),25.3,25.1,0.6,2.5,0.0,1697.6,1696.7,689.2,772.6,0.0,100.0,100.0,28.0,57.0
2026-09-14T22:04:11,71.5,1,Limpieza Electrolítica (T1),25.1,24.9,0.3,2.5,0.0,1722.8,1721.7,689.5,775.1,0.0,100.0,100.0,24.0,57.0
2026-09-14T22:04:12,72.5,1,Limpieza Electrolítica (T1),24.8,24.7,0.5,2.6,0.0,1747.6,1746.4,690.0,777.7,0.0,100.0,100.0,27.0,58.0
