Timestamp_ISO,Tiempo_Relativo_s,Placa_ID,Ronda,Etapa_Num,Etapa_Nombre,Etapa_Tiempo_s,Etapa_Duracion_s,Corriente_Target_A,Modo_Corriente,Temp_SP_Target_C,T1_Limpieza_Temp_C,T1_Limpieza_SP_C,T1_Limpieza_Activo,T1_TRIAC_Potencia_Pct,T1_TRIAC_Alpha_Deg,T1_TRIAC_Delay_us,T1_TRIAC_Watts_W,T2_Decapado_Temp_C,T2_Decapado_SP_C,T2_Decapado_Activo,T2_TRIAC_Potencia_Pct,T2_TRIAC_Alpha_Deg,T2_TRIAC_Delay_us,T2_TRIAC_Watts_W,T3_CeldaHull_Temp_C,T3_CeldaHull_SP_C,T3_CeldaHull_Activo,T3_TRIAC_Potencia_Pct,T3_TRIAC_Alpha_Deg,T3_TRIAC_Delay_us,T3_TRIAC_Watts_W,T4_Niquelado_Temp_C,T4_Niquelado_SP_C,T4_Niquelado_Activo,T4_TRIAC_Potencia_Pct,T4_TRIAC_Alpha_Deg,T4_TRIAC_Delay_us,T4_TRIAC_Watts_W,pH_Tina1,pH_Tina2,pH_Modulo_Activo,pH_Modo_Cal_T1,pH_Modo_Cal_T2,pH_Slope_Pct_T1,pH_Slope_Pct_T2,pH_Interlock_Activo,Fuente_Activa,Fuente_Modo_Pulsado,Fuente_Corriente_Consigna_A,Fuente_Corriente_Real_A,Fuente_Corriente_Shunt1_A,Fuente_Corriente_Shunt2_A,Fuente_Voltaje_Shunt1_V,Fuente_Voltaje_Shunt2_V,Fuente_Factor_Gm,Fuente_Compensacion_Activa,Fuente_Rele_VDD,Fuente_Amplitud_DAC,Fuente_Frecuencia_Hz,Fuente_DutyCycle_Pct,Fuente_PI_Estado,Fuente_Salud_Celda,Carga_Acumulada_Coulombs,Masa_Teorica_Faraday_mg,Energia_Termica_Wh,Ambiente_Temp_C,Ambiente_Humedad_Pct,Ambiente_Presion_hPa
2026-09-16T15:44:16,1.0,1,Ronda 1,1,Limpieza Química,0,120,0.0,DC,85.0,85.1,85.0,1,55.0,95.0,4400,247.5,24.0,0.0,0,0.0,105.0,4800,0.0,24.0,0.0,0,0.0,130.0,6000,0.0,24.0,0.0,0,0.0,120.0,5500,0.0,2.05,4.15,0,2,2,98.5,97.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0025,1,0,0,0,0,0,0,0.0,0.0,0.069,24.3,52.0,1013.1
2026-09-16T15:44:16,2.0,1,Ronda 1,1,Limpieza Química,1,120,0.0,DC,85.0,85.1,85.0,1,55.0,95.0,4400,247.5,24.0,0.0,0,0.0,105.0,4800,0.0,24.0,0.0,0,0.0,130.0,6000,0.0,24.0,0.0,0,0.0,120.0,5500,0.0,2.05,4.15,0,2,2,98.5,97.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0025,1,0,0,0,0,0,0,0.0,0.0,0.138,24.3,52.0,1013.1
2026-09-16T15:44:16,3.0,1,Ronda 1,1,Limpieza Química,2,120,0.0,DC,85.0,84.9,85.0,1,55.0,95.0,4400,247.5,24.0,0.0,0,0.0,105.0,4800,0.0,24.0,0.0,0,0.0,130.0,6000,0.0,24.0,0.0,0,0.0,120.0,5500,0.0,2.05,4.15,0,2,2,98.5,97.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0025,1,0,0,0,0,0,0,0.0,0.0,0.206,24.3,52.0,1013.1
2026-09-16T15:44:16,4.0,1,Ronda 1,1,Limpieza Química,3,120,0.0,DC,85.0,84.9,85.0,1,55.0,95.0,4400,247.5,24.0,0.0,0,0.0,105.0,4800,0.0,24.0,0.0,0,0.0,130.0,6000,0.0,24.0,0.0,0,0.0,120.0,5500,0.0,2.05,4.15,0,2,2,98.5,97.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0025,1,0,0,0,0,0,0,0.0,0.0,0.275,24.3,52.0,1013.1
2026-09-16T15:44:16,5.0,1,Ronda 1,1,Limpieza Química,4,120,0.0,DC,85.0,85.3,85.0,1,55.0,95.0,4400,247.5,24.0,0.0,0,0.0,105.0,4800,0.0,24.0,0.0,0,0.0,130.0,6000,0.0,24.0,0.0,0,0.0,120.0,5500,0.0,2.05,4.15,0,2,2,98.5,97.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0025,1,0,0,0,0,0,0,0.0,0.0,0.344,24.3,52.0,1013.1
2026-09-16T15:44:16,6.0,1,Ronda 1,1,Limpieza Química,5,120,0.0,DC,85.0,84.4,85.0,1,55.0,95.0,4400,247.5,24.0,0.0,0,0.0,105.0,4800,0.0,24.0,0.0,0,0.0,130.0,6000,0.0,24.0,0.0,0,0.0,120.0,5500,0.0,2.05,4.15,0,2,2,98.5,97.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0025,1,0,0,0,0,0,0,0.0,0.0,0.412,24.3,52.0,1013.1
2026-09-16T15:44:16,7.0,1,Ronda 1,1,Limpieza Química,6,120,0.0,DC,85.0,85.0,85.0,1,55.0,95.0,4400,247.5,24.0,0.0,0,0.0,105.0,4800,0.0,24.0,0.0,0,0.0,130.0,6000,0.0,24.0,0.0,0,0.0,120.0,5500,0.0,2.05,4.15,0,2,2,98.5,97.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0025,1,0,0,0,0,0,0,0.0,0.0,0.481,24.3,52.0,1013.1
2026-09-16T15:44:16,8.0,1,Ronda 1,1,Limpieza Química,7,120,0.0,DC,85.0,84.7,85.0,1,55.0,95.0,4400,247.5,24.0,0.0,0,0.0,105.0,4800,0.0,24.0,0.0,0,0.0,130.0,6000,0.0,24.0,0.0,0,0.0,120.0,5500,0.0,2.05,4.15,0,2,2,98.5,97.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0025,1,0,0,0,0,0,0,0.0,0.0,0.55,24.3,52.0,1013.1
2026-09-16T15:44:16,9.0,1,Ronda 1,1,Limpieza Química,8,120,0.0,DC,85.0,85.1,85.0,1,55.0,95.0,4400,247.5,24.0,0.0,0,0.0,105.0,4800,0.0,24.0,0.0,0,0.0,130.0,6000,0.0,24.0,0.0,0,0.0,120.0,5500,0.0,2.05,4.15,0,2,2,98.5,97.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0025,1,0,0,0,0,0,0,0.0,0.0,0.619,24.3,52.0,1013.1
2026-09-16T15:44:16,10.0,1,Ronda 1,1,Limpieza Química,9,120,0.0,DC,85.0,84.9,85.0,1,55.0,95.0,4400,247.5,24.0,0.0,0,0.0,105.0,4800,0.0,24.0,0.0,0,0.0,130.0,6000,0.0,24.0,0.0,0,0.0,120.0,5500,0.0,2.05,4.15,0,2,2,98.5,97.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0025,1,0,0,0,0,0,0,0.0,0.0,0.687,24.3,52.0,1013.1
